item_id1,item_id2,result
57002533-PL,47085855-99,1
57051087-TM,57040690-36,0
57010040-99,57063811-99,1
53063786-99,67050292-PL,0
57010037-99,47017722-CU,1
57030776-99,57065972-99,0
57040274-OR,57001101-TC,1
57050184-01,57077719-99,0
57050006-99,57012886-01,1
57057126-CO,47087851-OR,0
47064758-02,47056715-PL,1
53090511-CU,57096026-99,0
57041000-PL,47075864-32,1
53031097-OR,57084018-99,0
57010037-05,47028650-TN,1
57040278-99,57005802-06,0
47078255-01,57012886-91,1
53000586-TC,57087702-99,0
47075849-32,47037825-CU,1
51035023-05,53070688-74,0
47014025-OR,47002507-30,1
57004780-PL,57092893-PL,0
57050102-99,47005920-99,1
53053026-02,57079203-99,0
57050077-99,57012888-70,1
57054412-30,57057758-05,0
57095142-99,57044776-99,1
57050006-99,53060755-05,0
57015138-30,57012889-TN,1
57041177-TM,53033776-OR,0
57095142-99,57044776-99,1
57010254-99,57054422-08,0
57015138-30,57075978-99,1
57083273-PL,57044025-99,0
57020012-01,57040080-08,1
47045851-OR,47005921-CU,0
57050271-OR,57010601-99,1
53043037-OR,53091077-30,0
57012894-05,57062882-46,1
57058270-99,57026018-99,0
57020012-01,57040080-08,1
57018275-05,53070521-99,0
57012894-50,57082895-02,1
57063262-99,53033776-OR,0
57010037-99,57050006-99,1
57056013-92,51053704-99,0
47016322-99,57012895-52,1
53093047-99,53041096-OR,0
57010037-99,57040376-OR,1
53030874-05,57063818-80,0
47075864-32,47005921-CU,1
53015738-50,53081158-OR,0
57010275-OR,57062508-08,1
47026304-06,53060518-02,0
57031178-02,57092505-10,1
57006710-85,57006707-99,0
57050294-PL,57002512-99,1
51095024-91,53053763-30,0
57002515-50,57002885-99,1
57056020-30,53080539-TO,0
57010037-99,57040076-99,1
53021098-OR,57069118-TO,0
57050294-OR,57063811-99,1
53055714-06,53033776-OR,0
57002533-PL,57010036-PL,1
53065769-99,57085785-56,0
57050491-PL,57092893-PL,1
53000586-TC,53033751-99,0
57012898-TM,57062894-TM,1
53031097-OR,53090592-30,0
57052895-PL,57012899-PL,1
53080547-01,53080828-OR,0
57082889-PL,47032882-PL,1
57050271-OR,57069076-TO,0
57002533-PL,57022511-PL,1
57050271-OR,53063785-99,0
57086003-PL,57004410-99,1
43015788-OR,57087725-43,0
57031170-PL,57041173-PL,1
53091158-OR,57000342-TC,0
57083273-PL,57041178-OR,1
57065785-54,57053802-TN,0
57016021-PL,57022510-99,1
57003814-TM,53033755-79,0
57046015-99,47077845-99,1
57065794-99,57084388-78,0
57040598-99,57040037-99,1
57002518-99,67050049-PL,0
57046012-92,57022510-99,1
53033776-OR,53083770-99,0
47064425-99,57000280-02,1
53040578-01,57001508-30,0
57051087-TM,57029404-02,1
57053817-01,57063803-02,0
57036020-DI,57022510-99,1
43005802-OR,57015803-99,0
57013780-08,57075787-99,1
57015138-30,57040037-99,0
57040158-99,57002542-OR,1
53023753-99,57024421-99,0
57063817-99,57013782-OR,1
53091115-99,53080809-OR,0
47064425-99,57010603-99,1
53031097-OR,53031097-OR,0
57092881-99,57050336-PL,1
53033754-52,57010037-99,0
57013783-05,57013784-05,1
43025758-08,47085855-99,0
47004026-OR,57050086-99,1
53095768-99,57062892-TM,0
57092881-01,57022510-99,1
57015802-99,53023750-01,0
57013783-99,57013784-99,1
57040071-08,57086025-99,0
47064425-99,57010603-99,1
53090751-OR,57054406-99,0
57092881-99,57050336-PL,1
53021098-OR,57009220-99,0
57013783-05,57013784-05,1
43063738-OR,57076024-99,0
57050294-OR,57022510-99,1
53020749-92,53073042-28,0
47009028-99,57013783-99,1
53081158-OR,53050803-OR,0
57002513-99,57050294-PL,1
47095838-99,57020012-01,0
57093796-05,57004436-99,1
57097749-99,57082892-99,0
57002513-99,57050294-PL,1
53073729-99,53113782-OR,0
57093796-05,57004436-99,1
57050006-99,57014432-01,0
57002513-99,57042524-OR,1
57050294-PL,57031501-52,0
47077845-99,57013799-DO,1
53030594-08,57017714-99,0
57095142-99,57044776-99,1
57045809-01,57050078-99,0
57015138-30,57075978-99,1
57010006-CU,53083780-99,0
57050294-PL,57056013-92,1
53030963-99,57020012-01,0
57002515-50,57066004-99,1
57017883-69,53050548-99,0
57036728-92,57013801-50,1
57041178-OR,51035023-05,0
57050294-PL,57013801-99,1
57014036-PL,53003761-OR,0
57056013-92,57075967-99,1
53033761-99,57015793-43,0
57050294-PL,57010046-99,1
57096312-99,47037834-OR,0
57010612-99,57022511-PL,1
57094033-PL,57076725-88,0
57050491-PL,57013802-70,1
57042510-99,53005032-TN,0
57050294-PL,57096026-99,1
57004059-OR,57086003-PL,0
57083802-50,57013803-TM,1
57040257-02,57037654-43,0
57050294-PL,57022511-PL,1
57015932-CU,57035794-05,0
57001503-99,57004409-99,1
53060518-02,57040108-99,0
57000276-PL,57040278-99,1
53005785-31,57047720-99,0
57094419-32,57094028-99,1
57050294-PL,47045852-01,0
47001196-99,57002513-99,1
57046022-99,47075951-OR,0
57050294-PL,57084388-99,1
53050548-99,57052894-99,0
57001039-CU,57035795-35,1
53080809-OR,57026005-OR,0
57094033-PL,57013804-56,1
53021099-OR,57008277-TO,0
57040274-PL,57002512-99,1
53073755-79,57040376-OR,0
57092512-32,57013804-92,1
57095142-99,57027718-08,0
57002513-99,57091502-OR,1
57086314-08,57047739-OR,0
57012509-99,57094419-32,1
57004435-CU,53043749-04,0
57043811-05,57013805-05,1
53021099-OR,57089099-05,0
57091166-TM,57026007-OR,1
43005802-OR,57055147-99,0
57040274-PL,47010422-02,1
57026006-PL,57094424-08,0
57094385-99,57042510-99,1
57050094-80,57015938-99,0
57025799-99,57065970-99,1
53093777-17,57036020-DI,0
57013806-70,57026727-92,1
43013748-09,57030103-OR,0
57015803-99,57027763-92,1
57050336-PL,57039203-99,0
57050336-OR,57002522-99,1
47065916-99,57006014-PL,0
57050230-01,57046020-32,1
47026326-02,53051043-99,0
57047738-TS,57013806-81,1
53021099-OR,57046015-99,0
57050294-OR,57010282-01,1
53023713-91,53047020-05,0
57013806-99,57083795-99,1
57085146-08,57035925-15,0
57053809-08,57094024-30,1
57025804-99,53095751-99,0
57002512-99,57073803-05,1
57018280-99,57064001-37,0
57010601-99,57034777-37,1
57007587-99,53040578-01,0
57084388-99,57092881-99,1
53080809-OR,53073772-80,0
57012002-30,57013807-99,1
53063786-99,67030557-99,0
57095142-99,57044776-99,1
57007704-99,57000418-11,0
57015138-30,57075978-99,1
57025976-99,57066008-92,0
57050294-PL,57054415-05,1
57067735-CG,57036006-OR,0
57030776-99,57022511-PL,1
57050294-PL,53040593-08,0
57001014-99,57022511-PL,1
57056028-43,57014036-PL,0
57065149-99,57013809-65,1
57005801-70,57020039-TC,0
57040158-99,57043797-99,1
57085938-10,53075779-99,0
57050294-OR,57073807-99,1
57040279-07,57042526-81,0
57073799-99,57083795-32,1
57020012-01,57075781-99,0
57050294-PL,57040158-99,1
43003753-OR,53073754-OR,0
57012518-99,57024405-TN,1
57009207-06,57015800-99,0
57062508-08,57010474-01,1
57071174-02,53065762-05,0
57002513-99,57050294-PL,1
53013762-99,53031097-OR,0
47064425-99,57044409-TO,1
57074433-05,53013716-05,0
57010037-99,57002534-OR,1
57086003-PL,57085801-99,0
57024405-TN,57013812-05,1
53070567-02,57042524-OR,0
57050294-PL,57050111-PL,1
57035930-05,53063790-99,0
57050491-PL,57030409-99,1
43015035-15,41087039-12,0
57041000-PL,57043797-99,1
53003761-OR,51065030-05,0
57045139-99,57072889-99,1
57086003-PL,57087883-70,0
57004052-PL,57005975-TO,1
53021059-08,57066710-99,0
47091248-31,57013814-01,1
53050591-GM,57037688-02,0
57050294-PL,57042003-TC,1
57058631-99,57084028-OR,0
57050086-30,57072508-31,1
57004047-OR,57057760-92,0
57051087-TM,47091248-31,1
57050088-PL,51073753-09,0
57013817-02,57095971-56,1
57001503-99,57050157-TM,0
57050554-30,57050294-PL,1
47064026-92,57065972-99,0
47091248-31,57013817-81,1
53080749-TN,43090723-OR,0
57050294-PL,57062892-TM,1
57053803-99,57076309-99,0
57042511-99,57025976-99,1
57014427-30,57040598-99,0
57084388-99,57040251-50,1
51030705-05,53010582-TM,0
57013822-02,57050473-TM,1
53030691-OR,57093806-37,0
57040376-OR,57071176-99,1
57007702-08,57076000-09,0
57030409-99,57082892-99,1
57056013-92,57010006-99,0
57013823-05,57014035-PL,1
57004387-43,57064001-TM,0
57050294-PL,57071176-99,1
51075736-99,57025939-99,0
57002516-99,57052508-99,1
57092001-99,57065143-82,0
57013824-99,57073817-99,1
57093810-08,57075781-99,0
57075781-99,53003778-OR,1
53043794-99,57043797-99,0
51030703-05,53050518-99,1
57072889-99,57013806-99,0
53110680-99,57014001-01,1
51041120-43,57002887-05,0
53080809-OR,53063776-02,1
57017687-91,47005936-TC,0
53075776-CG,53017024-TN,1
47028650-TN,57040457-21,0
57014001-08,53080574-08,1
57064028-09,57093815-99,0
53080809-OR,53035033-43,1
57044412-92,43005812-52,0
53053714-06,53045770-02,1
57053802-TN,53091158-OR,0
53083787-OR,57014004-08,1
53080920-99,57056013-92,0
53091158-OR,53021098-OR,1
51060794-74,57022528-PL,0
53191158-46,57085912-99,1
57007750-17,57031170-PL,0
57037512-CG,57014004-28,1
57030776-99,53030963-99,0
53020588-99,53025031-05,1
51063744-02,53000759-99,0
53021098-OR,57015902-31,1
57044409-TO,53040712-OR,0
53091158-OR,53030691-OR,1
57047734-02,53000578-05,0
53080778-99,53075776-CG,1
53011108-99,53083715-05,0
57064001-02,53015779-49,1
57045802-01,57050294-OR,0
57050294-PL,57056013-92,1
57050114-30,57043797-99,0
57022511-PL,57051087-TM,1
57000438-OR,57036005-PL,0
57010601-99,57014034-01,1
47044025-OR,57066031-92,0
57055138-99,57086011-99,1
53073708-05,57040462-20,0
57040037-99,57012518-99,1
57092523-PL,57094033-PL,0
57044409-TO,57012509-99,1
57034006-99,53040578-01,0
57014034-43,57093721-09,1
57021179-01,53091158-OR,0
57050094-80,57040365-99,1
43073737-OR,53043037-OR,0
57030776-99,57092881-99,1
57050489-99,57034435-05,0
57029404-02,57014035-PL,1
47027837-OR,57009118-99,0
57010046-99,57050184-01,1
53000674-99,43047758-05,0
57050230-01,57040291-TM,1
53021059-08,57072509-99,0
57024405-TN,57014036-OR,1
57042882-99,57010037-99,0
57050094-80,57040365-99,1
43075794-OR,57013801-99,0
57030776-99,57092881-99,1
57014038-OR,57030008-26,0
57029404-02,57014036-PL,1
57000358-12,57040274-OR,0
57004788-99,57012511-99,1
53091158-OR,57002513-99,0
57040161-TC,57062888-85,1
57047890-99,57045910-94,0
57050265-05,57050306-02,1
57010034-08,57015981-01,0
57084028-OR,57014427-78,1
57036012-99,53050632-08,0
57050321-99,57040598-99,1
57050336-OR,53093787-OR,0
57071168-OR,57010037-05,1
57079210-99,57000377-OR,0
57004436-CU,57014039-OR,1
57075792-01,53073754-OR,0
57050181-02,57050086-99,1
51080660-02,57097685-70,0
57043797-99,57051087-TM,1
47015850-OR,57093812-30,0
57050230-99,57014040-OR,1
57065784-02,57057883-69,0
57023725-09,57050554-30,1
57010037-99,57020253-83,0
57010282-01,57044409-TO,1
53015738-02,57010601-99,0
57010040-99,57014041-OR,1
57006705-99,57048279-99,0
57040297-99,57050102-99,1
57040460-OR,53080809-OR,0
57040579-32,57050336-OR,1
53020608-07,53030691-OR,0
57004440-14,57014042-01,1
53033776-OR,57050230-56,0
57010046-99,57050184-01,1
43063738-OR,57050118-OR,0
57050230-01,57040291-TM,1
57012512-08,57094024-30,0
57024405-TN,57014043-OR,1
57089210-99,53113781-09,0
57050181-02,57050086-99,1
53033761-99,53030993-02,0
57043797-99,57051087-TM,1
57005809-35,57049211-99,0
57050230-99,57014044-OR,1
43057021-01,53015714-33,0
57014045-PL,57010046-99,1
53005032-05,53063037-OR,0
57050184-01,57050230-01,1
47034428-PL,53030670-99,0
57040291-TM,57024405-TN,1
57062511-50,53135025-99,0
57040459-99,57050311-07,1
57064427-02,57050294-OR,0
57004781-99,57030409-99,1
53050831-OR,57065811-95,0
57050100-05,57014046-OR,1
43073737-OR,53013741-99,0
57065987-99,57024421-99,1
53005032-TN,53005769-05,0
57025804-99,57014047-OR,1
47054426-PL,57050321-99,0
53035715-06,57027691-TO,1
53030691-OR,53095033-99,0
53073754-OR,53095770-01,1
53080809-OR,47024004-99,0
53021098-OR,53080640-85,1
53080809-OR,57024039-45,0
57014382-05,57017689-09,1
43005802-OR,57095142-99,0
57050294-PL,57056012-99,1
57004437-99,53135025-99,0
57096026-99,57014398-TN,1
57044035-99,57010494-99,0
57050294-PL,57056012-99,1
57033807-99,57083795-99,0
57025799-99,57096026-99,1
47055145-99,57050032-99,0
57056013-92,57050294-OR,1
53005760-92,53061096-OR,0
57013807-99,57065149-99,1
57021179-TM,53033778-50,0
57050294-PL,57040037-99,1
51061123-01,57072892-PL,0
57022511-PL,57014403-01,1
57092881-99,53030691-OR,0
57040365-99,57024778-OR,1
57040274-OR,57010257-01,0
57042524-PL,57014403-84,1
53005032-05,57025938-74,0
47074758-99,47078255-99,1
57064784-CO,57050102-99,0
57050294-OR,57012518-99,1
57051181-56,57072508-31,0
57024405-TN,57053800-99,1
57020047-99,47095848-99,0
57014404-06,57035138-TN,1
53000843-99,57075919-99,0
57050294-PL,57022511-PL,1
57012511-99,57045968-43,0
57010601-99,57050465-95,1
53000759-99,53075713-94,0
57040279-07,57002513-99,1
53030691-OR,53010568-TG,0
57050294-OR,57032893-TN,1
51033705-69,53030613-28,0
57056013-92,57002532-PL,1
47005921-99,57021179-TM,0
57014427-30,57005804-05,1
51085724-99,57082889-PL,0
57015138-30,57029404-02,1
53177757-79,57014034-01,0
57072509-99,57014424-99,1
57027723-05,53030636-07,0
57040376-OR,57000342-TC,1
57015976-99,53073755-79,0
57014425-99,57050076-OR,1
57047881-OR,53000586-TC,0
57026007-OR,57064772-01,1
57052525-PL,53040578-01,0
57010046-99,57050184-01,1
53060547-99,67040070-OR,0
57050230-01,57014425-PL,1
53020607-07,57030252-83,0
57040291-TM,57024405-TN,1
57065149-02,53080809-OR,0
57050094-80,57040365-99,1
57075131-99,57055921-02,0
57092881-99,57029404-02,1
53080809-OR,53023736-TM,0
57010275-OR,57001097-99,1
53070542-85,53021098-OR,0
57040251-02,57014427-30,1
57020012-01,57050294-OR,0
57005813-94,57055138-99,1
53060518-02,53030691-OR,0
57024031-OR,57046024-99,1
57010007-99,57096020-99,0
57014427-56,57026021-92,1
57097715-99,57040376-OR,0
57040459-99,57050311-07,1
67050292-PL,57025957-99,0
57014427-78,57030409-99,1
53000626-99,57096027-56,0
57000094-98,57003276-98,1
57050078-99,57005937-OR,0
57014431-02,57044430-02,1
57000276-PL,53050753-32,0
57012509-99,57016021-PL,1
53045718-99,57036020-DI,0
57096026-99,57046016-05,1
53080809-OR,53103798-OR,0
57014432-01,57006024-05,1
41083009-02,57050294-PL,0
57043797-99,57031170-PL,1
53005739-99,57050094-80,0
57072889-99,57014435-44,1
53030691-OR,53023757-99,0
57092521-PL,57092523-PL,1
57056013-92,47043770-30,0
57002512-99,57043797-99,1
53103798-OR,57010719-02,0
57010274-OR,57072889-99,1
43015793-OR,53050624-01,0
57092521-PL,57014436-65,1
53065769-99,53020589-28,0
57098272-09,57007747-02,1
53003780-OR,57020012-01,0
57038274-01,57014437-05,1
57040037-99,53025023-TG,0
57014438-05,57005802-05,1
53065769-99,57093253-01,0
57022511-PL,57042524-PL,1
57010046-99,57005937-OR,0
57094406-09,57050230-01,1
57050554-30,53080920-99,0
57004431-99,57014438-56,1
57045971-TO,57055147-99,0
57093795-99,57095982-99,1
53080809-OR,57056011-99,0
53030963-99,53021059-08,1
53193794-OR,53103803-OR,0
53083780-99,53000765-OR,1
57040689-30,57006312-01,0
53033776-OR,53065769-99,1
57035792-99,57050554-30,0
57005952-PL,53053760-51,1
47067108-99,53053794-OR,0
53033778-52,51085026-05,1
57036020-DI,57026007-OR,0
53023750-01,53073754-OR,1
57028274-99,57021028-PL,0
51095024-91,57005952-PL,1
57010037-99,57000259-99,0
53095770-52,53020884-01,1
47015882-TM,57040274-OR,0
53073755-08,53021098-OR,1
57004787-07,53080828-OR,0
53191158-46,57005506-80,1
53053753-52,53020943-99,0
53090805-99,53041096-OR,1
57013801-99,43005802-OR,0
53033776-OR,53073754-OR,1
53043747-99,53093739-99,0
53073755-08,53090667-28,1
53003751-99,57095923-CU,0
53093741-CU,57014756-99,1
57095804-99,47032882-PL,0
57010046-99,57050184-01,1
57019080-52,53073754-OR,0
57050230-01,57040291-TM,1
53060615-20,43003754-OR,0
57024405-TN,57014768-05,1
57055144-99,51013791-02,0
57014425-PL,57094431-DI,1
43087713-05,47087877-01,0
57085134-99,57085809-52,1
53050831-OR,53065769-99,0
57085146-08,57014771-05,1
57050037-OR,53030812-OR,0
57002513-99,57094024-99,1
57075781-99,57040156-99,0
57025806-30,57094419-32,1
57075947-99,43097723-01,0
57014776-50,57003823-TM,1
53033715-99,57015932-CU,0
57015138-30,57033804-DI,1
53030757-02,53050624-01,0
57010494-99,57062506-01,1
53080920-99,53081158-OR,0
47074758-99,57005813-94,1
53093739-99,57083795-99,0
57024421-99,57024428-01,1
57067747-PL,57050554-30,0
57014778-01,57015809-02,1
57055797-99,47050033-99,0
57050086-99,57043797-99,1
53091158-OR,57084028-OR,0
57051087-TM,57050230-99,1
47095838-99,57082895-02,0
57050086-99,57043797-99,1
57037879-OR,57000367-99,0
57051087-TM,57050230-99,1
57050258-99,51061123-01,0
57040297-99,57050102-99,1
43003754-OR,53050722-99,0
57040579-32,57050336-OR,1
57089107-99,57093814-99,0
57010046-99,57050230-01,1
57001503-02,57008279-99,0
57040291-TM,57024405-TN,1
57050554-30,57040158-99,0
53080809-OR,57075781-99,1
47018645-05,43063738-46,0
51070902-99,53025037-37,1
43063738-OR,53090827-OR,0
53093047-99,53003751-99,1
57026027-94,53080883-81,0
57005937-OR,51073744-99,1
53080818-05,43027739-01,0
53053763-30,53000759-99,1
57040359-01,53040593-08,0
53005769-05,53060637-30,1
53045718-17,53090511-CU,0
53080809-OR,53080716-OR,1
53080544-05,57025806-30,0
57075781-99,57015132-85,1
57005930-OR,53020589-99,0
57002513-99,57014425-99,1
67030557-99,53063023-76,0
57015138-30,57034038-94,1
57020047-99,57085919-99,0
57054406-99,57063815-37,1
57050181-68,53030691-OR,0
57056013-92,57004435-CU,1
53003753-CU,57035965-35,0
57066031-92,57014406-BL,1
57062510-99,53080809-OR,0
57025801-95,57015139-37,1
53033750-32,53005748-30,0
57050294-PL,57025801-06,1
53003755-32,57056013-92,0
57004409-94,57015140-99,1
57016021-PL,57010037-99,0
57005802-05,57040251-50,1
57081167-99,47091248-31,0
57055958-DI,57074782-99,1
57072508-31,51061123-01,0
57035138-TN,57015141-06,1
47045852-01,53025008-99,0
57050294-PL,57002512-99,1
57063809-99,53040541-TO,0
57050466-07,57015142-99,1
57004432-37,57004052-PL,0
57050294-PL,57062508-08,1
47005949-99,57006705-99,0
57046012-92,57045139-99,1
53050576-01,57040312-99,0
57010282-94,57094028-99,1
53003753-CU,47018645-05,0
47014033-CU,57004057-OR,1
53080871-99,57015922-OR,0
57086309-99,57055982-02,1
57077735-06,53083725-01,0
53080809-OR,57015932-CU,1
57041178-OR,53045707-08,0
57075783-30,57025909-32,1
57025909-32,57050294-PL,0
57043797-99,57030776-99,1
57005952-PL,57036013-99,0
57053809-99,57015792-99,1
53070745-79,53065751-99,0
47014033-CU,57050294-OR,1
53080809-OR,51005744-99,0
57083795-32,57014046-OR,1
57004429-99,57025978-99,0
57015793-09,57075790-09,1
57086713-85,57035989-99,0
47005857-OR,57043797-99,1
57030449-52,57005973-30,0
57002516-99,57015793-43,1
57034407-09,57085800-81,0
57002513-99,57030031-99,1
43073737-OR,57050077-99,0
57015794-99,57020041-88,1
57016022-35,57050336-PL,0
57014045-PL,57094033-PL,1
57036005-PL,57024421-99,0
57022510-99,47011296-99,1
57078269-TS,53000586-TC,0
57091502-OR,57096026-99,1
57075804-91,57005802-06,0
57004429-99,57015795-90,1
51083753-99,57065904-30,0
47064425-99,57050294-OR,1
57073799-99,57004052-PL,0
57014427-30,57015795-99,1
53080809-OR,53043037-OR,0
57014045-PL,57004435-CU,1
57050294-PL,53095779-30,0
57083795-32,57094033-PL,1
57050248-99,57049120-05,0
47001196-99,57040376-OR,1
53103804-OR,57002512-99,0
57024031-OR,57046024-99,1
57076020-07,47005921-99,0
57003809-34,57063803-02,1
53030587-01,53033787-92,0
57072509-99,57020363-PL,1
57050252-99,57026006-PL,0
57054422-08,57014432-01,1
57086309-99,57040291-TM,0
57015961-02,57015797-83,1
57026727-99,57096026-99,0
57042003-TC,57002518-99,1
57040417-52,57004052-PL,0
57094419-32,57024031-OR,1
57002514-02,53050616-01,0
57062508-08,57003809-34,1
57010263-99,57046024-99,0
57014047-OR,57004435-CU,1
57055147-99,57073803-05,0
57046012-92,57015799-94,1
57004052-OR,53060830-OR,0
57015800-99,57066019-99,1
57041501-30,57006705-99,0
57010260-05,57025801-31,1
57004781-99,57014045-PL,0
57096026-99,57092512-32,1
57002521-99,57014045-PL,0
57016019-92,57035792-99,1
57057725-05,57028274-99,0
57066000-09,57010260-05,1
53030691-OR,43005027-99,0
57015802-30,57035803-94,1
57085902-18,53060518-02,0
57050094-80,57040365-99,1
57050484-02,57009102-43,0
57092881-99,57015802-99,1
47037834-OR,57066000-09,0
57056013-92,57005813-94,1
57015932-CU,57004428-99,0
57030409-99,57006024-05,1
57007648-06,43003754-OR,0
57010252-05,57015803-99,1
57022511-PL,57025921-OR,0
57096026-99,57014036-PL,1
57074011-52,57053807-TM,0
57076024-99,57077749-DI,1
53021097-OR,57010601-99,0
57050294-PL,57074781-TU,1
57020363-PL,53093739-99,0
57034776-PL,57050088-PL,1
53050829-OR,57050258-99,0
57000428-01,57040278-99,1
67050279-CO,47005947-99,0
57044408-DI,57072509-99,1
53050602-TN,57022511-PL,0
47074758-99,57005813-94,1
67050590-99,53090544-05,0
57094014-05,57004052-PL,1
57055147-99,57040295-TM,0
57055147-99,57035794-05,1
57053820-43,57025909-32,0
57024421-99,57024428-01,1
53091158-OR,53063732-99,0
57014778-01,57015809-02,1
57037879-OR,51053024-99,0
57050294-OR,57094014-05,1
57065149-99,57025986-99,0
57055147-99,57031178-99,1
53080868-50,47055950-PL,0
57056013-92,57002542-OR,1
53003778-OR,57057700-99,0
57084388-99,57025801-06,1
53090511-CU,53023748-32,0
57086003-OR,57014046-OR,1
57031170-PL,57010603-99,0
57015811-02,57035810-02,1
53083025-02,53030691-OR,0
57002522-99,57072001-01,1
57040385-46,53070634-01,0
57003823-TM,57025976-99,1
53003751-99,43073737-OR,0
57040251-02,57024421-99,1
57063262-02,57000365-99,0
57094431-DI,57015812-37,1
57079093-99,57050184-99,0
57000180-01,57095142-99,1
57010282-01,53055750-92,0
57050336-PL,57015813-56,1
57067724-05,53023736-TN,0
57094419-32,57014779-01,1
41025020-02,43013764-99,0
57094779-TM,57015814-43,1
53083780-99,53193794-OR,0
57050006-99,57083809-99,1
57040312-99,57075808-28,0
57055147-99,57050184-99,1
57085801-99,53043037-OR,0
47064425-99,57002522-99,1
57046015-99,57050094-80,0
57042510-99,57063797-99,1
43005812-52,57030134-99,0
53005032-05,57015902-31,1
57030409-92,57040073-05,0
53005787-30,57037880-OR,1
57036020-DI,57075782-77,0
53093739-99,57015905-32,1
53040712-OR,47022883-99,0
53103798-OR,53015772-30,1
51015766-92,43063762-08,0
51035026-30,53095779-30,1
53000578-TM,57011171-05,0
53080920-99,53053760-51,1
53003722-95,53021098-OR,0
53023757-99,53057015-99,1
57096011-99,57010037-05,0
53080809-OR,51000640-37,1
57074401-07,57010275-OR,0
53010582-TM,53073728-99,1
53020726-99,53030572-32,0
53043746-32,57015922-OR,1
57047881-OR,53090774-02,0
57015902-31,57015909-05,1
43063738-OR,47005922-CU,0
53080809-OR,53095770-01,1
57086003-PL,43060804-OR,0
53033778-50,57015909-15,1
57035148-01,57043797-99,0
53080809-OR,53033778-50,1
53060511-08,57010290-TN,0
53070646-99,57015909-42,1
57035965-99,57072887-99,0
53080809-OR,51030703-05,1
57050265-99,53020578-07,0
57095923-CU,53093777-17,1
53003756-79,57065943-99,0
57085938-10,57015913-09,1
57040463-99,57050336-OR,0
53080828-OR,57005952-PL,1
57012518-99,57027691-TO,0
53013792-99,57039203-43,1
53050624-01,57043797-99,0
53025023-TG,53033759-99,1
57050437-PL,57040257-99,0
57006707-99,53010582-TM,1
53080545-07,51015735-99,0
53013792-99,51073785-99,1
57089084-99,53083725-01,0
53080828-OR,51085029-02,1
57000168-99,53013788-99,0
57005952-PL,53013792-99,1
57050294-PL,57094431-DI,0
57039203-43,53033759-99,1
57057748-56,67010080-OR,0
53080809-OR,53080828-OR,1
67040394-PL,57086022-PL,0
53005032-TU,51095024-91,1
57055786-56,57005933-OR,0
53045763-99,53013792-99,1
53090667-28,57096007-99,0
57015922-OR,51063787-01,1
57050094-80,53030691-OR,0
53003751-99,53041102-15,1
53040607-05,43005802-OR,0
53050579-99,57015924-52,1
47025853-OR,57024404-06,0
51000640-37,53010582-TM,1
53025026-TM,53000588-02,0
53080920-99,53073728-99,1
51005038-02,53080528-28,0
53033776-OR,53000586-TC,1
57040363-01,53073709-99,0
57065939-02,53080510-12,1
57063798-37,57084018-99,0
53050803-OR,53060682-99,1
57040376-OR,57040376-OR,0
53023773-99,53005748-02,1
53093764-05,53063709-56,0
53043037-OR,53093765-99,1
53080545-07,57044409-TO,0
57075782-CG,57019028-30,1
57050184-01,47095651-02,0
51053024-99,53065769-99,1
57050294-OR,53033767-90,0
53013793-99,53021098-OR,1
57099082-08,53035774-02,0
57047658-99,57015928-99,1
41087039-12,53030679-32,0
57075781-99,57015932-CU,1
47037128-08,57085801-99,0
57034381-33,53025778-31,1
57050265-05,57050311-05,0
57025909-32,57024380-OR,1
53003751-99,57055797-99,0
53080828-OR,53033767-90,1
43083719-99,53030677-32,0
53021098-OR,57007608-36,1
57024397-05,57006707-99,0
57095920-OR,51087668-92,1
53083774-99,57085809-52,0
57015938-99,53085739-94,1
57046012-92,53013792-99,0
53065769-99,53003778-OR,1
53003736-05,57024428-01,0
53055714-06,57015942-99,1
53057015-99,57050294-OR,0
53080809-OR,53000759-99,1
57040312-99,53050683-92,0
53095751-99,57015943-TM,1
67010055-PL,53030691-OR,0
53080809-OR,53093047-99,1
53023772-99,43073737-OR,0
53093765-99,57015927-05,1
57085134-99,53055750-92,0
53033776-OR,53073754-OR,1
57086314-08,43003756-OR,0
53003751-99,53000591-TU,1
53003751-99,57086011-99,0
53070567-02,57015945-99,1
57023802-99,57072889-99,0
53000591-02,57015946-05,1
57065970-99,57010041-99,0
53033776-OR,53080778-99,1
53073762-70,53093739-99,0
53083780-99,57064001-TN,1
43063738-46,53053031-43,0
57065784-02,53033751-99,1
47027877-99,57050294-PL,0
53023773-99,57064001-TM,1
53030691-OR,57093796-05,0
51075026-49,57005937-OR,1
51000949-02,41087039-12,0
53071096-OR,57015947-01,1
57051087-TM,57012509-99,0
53065769-99,53010582-TO,1
53080920-99,57050181-68,0
53030680-99,53093767-99,1
43025786-OR,53093047-99,0
53090733-99,53003766-OR,1
53060830-OR,57040073-05,0
53033761-99,53000591-TM,1
57012512-08,53043040-56,0
57075781-99,53000759-99,1
53065769-99,57040274-PL,0
57064001-37,57015948-05,1
57005834-43,53003761-OR,0
53080809-OR,53080828-OR,1
57065794-99,43033720-23,0
53031097-OR,53091077-30,1
53023750-99,53003778-OR,0
53003753-CU,57004005-15,1
53975683-99,57010612-99,0
57005952-PL,53043747-99,1
57010278-99,53080809-OR,0
53013792-99,53015029-TM,1
57010040-99,57043276-46,0
